Vowel	Ceiling	F2	F3
aa	4600	1039.2	1579.4
aa	4700	1043.8	1588.2
aa	4800	1042.7	1588.7
aa	4900	1037.8	1582.2
aa	5000	1032.3	1572.5
aa	5100	1023.5	1555.2
aa	5200	1543.5	3319.1
aa	5300	1535.6	3316.4
aa	5400	1537.0	3308.8
aa	5500	1543.1	3293.7
aa	5600	1546.1	3296.0
aa	5700	1545.7	3303.8
aa	5800	1537.0	3315.2
aa	5900	1516.0	3327.6
aa	6000	1477.5	3339.8
aa	6100	1431.4	3350.4
aa	6200	1402.0	3355.4
aa	6300	1389.2	3350.2
aa	6400	1385.4	3329.6
aa	6500	1385.4	3297.4
aa	4500	1240.1	1569.1
aa	4600	1246.7	1566.6
aa	4700	1251.0	1556.3
aa	4800	1249.1	1542.1
aa	4900	1228.1	1524.5
aa	5000	1160.1	1511.8
aa	5100	1507.4	3586.8
aa	5200	1506.6	3600.8
aa	5300	1507.4	3605.2
aa	5400	1510.0	3606.8
aa	5500	1510.7	3604.5
aa	5600	1512.0	3599.1
aa	5700	1509.1	3603.3
aa	5800	1503.8	3610.4
aa	5900	1494.0	3621.9
aa	6000	1482.9	3633.3
aa	6100	1469.6	3647.6
aa	6200	1459.7	3661.0
aa	6300	1452.6	3675.7
aa	6400	1448.9	3689.1
aa	6500	1447.2	3700.9
aa	4500	1207.2	1586.7
aa	4600	1221.1	1582.6
aa	4700	1233.6	1573.9
aa	4800	1226.1	1550.9
aa	4900	1138.2	1532.8
aa	5000	871.4	1524.4
aa	5100	1523.3	3528.9
aa	5200	1524.7	3536.2
aa	5300	1527.1	3520.2
aa	5400	1530.3	3488.1
aa	5500	1529.8	3500.5
aa	5600	1528.5	3510.6
aa	5700	1520.3	3539.6
aa	5800	1507.7	3569.9
aa	5900	1492.9	3601.5
aa	6000	1480.8	3632.3
aa	6100	1472.9	3662.8
aa	6200	1468.4	3695.0
aa	6300	1466.3	3526.3
aa	6400	1465.8	3467.5
aa	6500	1466.1	3444.1
aa	4500	1042.5	1862.2
aa	4600	1039.8	1864.4
aa	4700	1031.5	1863.5
aa	4800	1450.9	2466.9
aa	4900	1845.6	3123.9
aa	5000	1835.7	3124.1
aa	5100	1823.9	3096.5
aa	5200	1819.5	3088.4
aa	5300	1821.0	3089.0
aa	5400	1825.7	3100.7
aa	5500	1833.4	3130.5
aa	5600	1841.6	3164.3
aa	5700	1849.4	3206.2
aa	5800	1854.1	3252.3
aa	5900	1852.5	3306.0
aa	6000	1838.7	3378.2
aa	6100	1803.8	3163.2
aa	6200	1751.3	2988.6
aa	6300	1701.0	2921.1
aa	6400	1680.0	2901.0
aa	6500	1669.1	2898.3
aa	4500	1313.6	2432.6
aa	4600	1314.6	2432.4
aa	4700	1308.7	2429.1
aa	4800	1303.9	2426.5
aa	4900	1637.5	3158.4
aa	5000	1629.3	3163.6
aa	5100	1616.5	3152.8
aa	5200	1613.9	3146.4
aa	5300	1613.8	3141.9
aa	5400	1616.4	3146.7
aa	5500	1618.5	3151.3
aa	5600	1621.1	3167.4
aa	5700	1621.3	3188.1
aa	5800	1615.4	3210.6
aa	5900	1599.7	3233.7
aa	6000	1569.7	3256.4
aa	6100	1532.5	3271.8
aa	6200	1498.6	3261.2
aa	6300	1478.6	3184.5
aa	6400	1467.6	3143.0
aa	6500	1468.1	3163.1
aa	4500	1794.3	2864.1
aa	4600	1789.5	2854.9
aa	4700	1785.1	2822.4
aa	4800	1790.3	2846.6
aa	4900	1798.1	2882.4
aa	5000	1806.4	2920.5
aa	5100	1816.2	2966.9
aa	5200	1828.2	3025.6
aa	5300	1837.0	3067.6
aa	5400	1848.6	3139.3
aa	5500	1854.4	3174.8
aa	5600	1862.5	3262.5
aa	5700	1864.8	3318.1
aa	5800	1862.6	3404.0
aa	5900	1852.4	3536.2
aa	6000	1831.7	3190.0
aa	6100	1803.2	2816.9
aa	6200	1773.7	2760.3
aa	6300	1756.2	2790.4
aa	6400	1746.0	2830.0
aa	6500	1749.6	2897.9
aa	4500	1031.5	1708.0
aa	4600	1025.0	1704.8
aa	4700	1677.4	3137.9
aa	4800	1665.1	3146.2
aa	4900	1635.1	3151.9
aa	5000	1633.5	3128.3
aa	5100	1634.3	3110.1
aa	5200	1642.0	3129.3
aa	5300	1648.5	3144.8
aa	5400	1659.5	3194.0
aa	5500	1667.0	3232.5
aa	5600	1672.5	3289.0
aa	5700	1669.5	3347.2
aa	5800	1652.1	3395.7
